Threshold_Factor,Detected_Cells,True_Cells,False_Alarm_Cells,False_Cells,Detection_Rate,False_Alarm_Rate
0.0,391135,391135,7850463,7849505,1.0,1.0001220459124494
0.05,391135,391135,7792127,7849505,1.0,0.9926902397030131
0.1,391135,391135,7608153,7849505,1.0,0.9692525834431598
0.15000000000000002,391135,391135,7317672,7849505,1.0,0.9322463008813932
0.2,391135,391135,6900115,7849505,1.0,0.8790509720039671
0.25,391135,391135,6378883,7849505,1.0,0.8126478039061061
0.30000000000000004,391071,391135,5814167,7849505,0.9998363736305879,0.7407049234314775
0.35000000000000003,391023,391135,5196223,7849505,0.9997136538535288,0.6619809784183843
0.4,390919,391135,4626262,7849505,0.9994477610032342,0.5893699029429245
0.45,390324,391135,4059597,7849505,0.9979265471001061,0.5171787265566428
0.5,390004,391135,3563763,7849505,0.9971084152530456,0.4540111765009386
0.55,389636,391135,3097770,7849505,0.9961675636289261,0.39464526744043094
0.6000000000000001,389508,391135,2687281,7849505,0.9958403108901018,0.34235037750788105
0.65,389116,391135,2315177,7849505,0.9948380993774528,0.2949456048502421
0.7000000000000001,388476,391135,1995692,7849505,0.9932018356833319,0.2542443122209617
0.75,387932,391135,1722133,7849505,0.9918110115433291,0.21939383438828308
0.8,387456,391135,1473268,7849505,0.9905940404208265,0.18768928741366495
0.8500000000000001,386432,391135,1271815,7849505,0.9879760185102331,0.16202486653617013
0.9,385792,391135,1097174,7849505,0.9863397548161121,0.13977620244843464
0.9500000000000001,384930,391135,952666,7849505,0.9841359121530929,0.12136637915384474
1.0,383849,391135,828660,7849505,0.9813721605072417,0.10556844030292356
1.05,382804,391135,718131,7849505,0.9787004486941848,0.09148742500323269
1.1,381908,391135,618651,7849505,0.9764096795224155,0.07881401438689446
1.1500000000000001,381014,391135,534352,7849505,0.9741240236746903,0.0680746110742015
1.2000000000000002,380297,391135,462959,7849505,0.9722908970048705,0.05897938787222889
1.25,379819,391135,408546,7849505,0.9710688125583239,0.05204735840030677
1.3,379439,391135,359666,7849505,0.9700972809899395,0.045820214140891685
1.35,378959,391135,318116,7849505,0.9688700832193489,0.04052688672725223
1.4000000000000001,377756,391135,287462,7849505,0.9657944188068058,0.03662167232201266
1.4500000000000002,376298,391135,258110,7849505,0.9620668055786366,0.03288232824872397
1.5,376074,391135,233502,7849505,0.9614941132856942,0.029747353495538892
1.55,376074,391135,213204,7849505,0.9614941132856942,0.027161457951807154
1.6,375946,391135,192634,7849505,0.9611668605468701,0.024540910541492742
1.6500000000000001,374770,391135,175301,7849505,0.9581602260089227,0.02233274582282577
