Threshold_Factor,Detected_Cells,True_Cells,False_Alarm_Cells,False_Cells,Detection_Rate,False_Alarm_Rate
0.0,391135,391135,7850463,7849505,1.0,1.0001220459124494
0.05,391135,391135,7810151,7849505,1.0,0.9949864354503882
0.1,391135,391135,7683744,7849505,1.0,0.978882617438934
0.15000000000000002,391135,391135,7478726,7849505,1.0,0.9527640277953833
0.2,391135,391135,7201302,7849505,1.0,0.9174211622261531
0.25,391135,391135,6859515,7849505,1.0,0.8738786713302303
0.30000000000000004,391087,391135,6478329,7849505,0.999877280222941,0.8253168830391215
0.35000000000000003,391087,391135,6056973,7849505,0.999877280222941,0.771637574598653
0.4,391023,391135,5641764,7849505,0.9997136538535288,0.7187413728636391
0.45,390428,391135,5216200,7849505,0.9981924399504007,0.6645259796636858
0.5,390324,391135,4826710,7849505,0.9979265471001061,0.614906290269259
0.55,390212,391135,4453731,7849505,0.9976402009536349,0.5673900456143413
0.6000000000000001,389956,391135,4088526,7849505,0.9969856954759866,0.5208641818815326
0.65,389828,391135,3768861,7849505,0.9966584427371623,0.48013995786995484
0.7000000000000001,389348,391135,3462899,7849505,0.9954312449665716,0.44116144903404736
0.75,389284,391135,3167851,7849505,0.9952676185971595,0.4035733463447695
0.8,389220,391135,2904060,7849505,0.9951039922277475,0.3699672781914274
0.8500000000000001,388964,391135,2664321,7849505,0.994449486750099,0.3394253522992851
0.9,388508,391135,2454810,7849505,0.9932836488680379,0.3127343698742787
0.9500000000000001,387932,391135,2255287,7849505,0.9918110115433291,0.28731582437363884
1.0,387676,391135,2075644,7849505,0.9911565060656806,0.26442992265117354
1.05,387215,391135,1905916,7849505,0.9899778848735091,0.24280715790358756
1.1,386562,391135,1758153,7849505,0.9883083845731013,0.22398265877912046
1.1500000000000001,386052,391135,1614651,7849505,0.9870044869418487,0.20570099643225911
1.2000000000000002,385604,391135,1481543,7849505,0.9858591023559641,0.18874349401650167
1.25,384900,391135,1356481,7849505,0.984059212292431,0.17281102438943602
1.3,384271,391135,1247207,7849505,0.9824510718805527,0.15888989178298504
1.35,383631,391135,1138588,7849505,0.9808148081864317,0.14505220392878276
1.4000000000000001,383219,391135,1035560,7849505,0.9797614634333415,0.13192679028805002
1.4500000000000002,382739,391135,948301,7849505,0.9785342656627507,0.12081029313313388
1.5,382259,391135,871875,7849505,0.97730706789216,0.11107388300281355
1.55,381747,391135,794888,7849505,0.9759980569368633,0.10126600339766648
1.6,380408,391135,735432,7849505,0.9725746864893196,0.09369151303171347
1.6500000000000001,380152,391135,674589,7849505,0.9719201810116712,0.0859403236255025
1.7000000000000002,379960,391135,622434,7849505,0.9714293019034349,0.07929595560484387
1.75,379960,391135,576166,7849505,0.9714293019034349,0.07340157118187707
1.8,379518,391135,535028,7849505,0.9702992572896826,0.0681607311543849
1.85,379326,391135,492615,7849505,0.9698083781814463,0.06275746050228645
