Threshold_Factor,Detected_Cells,True_Cells,False_Alarm_Cells,False_Cells,Detection_Rate,False_Alarm_Rate
0.0,391135,391135,7850463,7849505,1.0,1.0001220459124494
0.05,391135,391135,7840157,7849505,1.0,0.9988090968793574
0.1,391135,391135,7805875,7849505,1.0,0.9944416877242578
0.15000000000000002,391135,391135,7742101,7849505,1.0,0.9863170989763049
0.2,391135,391135,7656440,7849505,1.0,0.9754041815375619
0.25,391135,391135,7551055,7849505,1.0,0.9619784941853021
0.30000000000000004,391135,391135,7415071,7849505,1.0,0.9446545992390603
0.35000000000000003,391135,391135,7258165,7849505,1.0,0.9246653132904559
0.4,391135,391135,7067307,7849505,1.0,0.900350659054297
0.45,391135,391135,6855976,7849505,1.0,0.8734278148749507
0.5,391135,391135,6634338,7849505,1.0,0.8451918942659442
0.55,391135,391135,6388617,7849505,1.0,0.8138878821021198
0.6000000000000001,391135,391135,6128162,7849505,1.0,0.7807068089006887
0.65,391135,391135,5844704,7849505,1.0,0.7445952324382238
0.7000000000000001,391071,391135,5551180,7849505,0.9998363736305879,0.7072012821190635
0.75,391071,391135,5258544,7849505,0.9998363736305879,0.6699204599525702
0.8,391071,391135,4966018,7849505,0.9998363736305879,0.632653651408592
0.8500000000000001,391007,391135,4680194,7849505,0.9996727472611758,0.5962406546654853
0.9,391007,391135,4407583,7849505,0.9996727472611758,0.5615109487795727
0.9500000000000001,391007,391135,4123696,7849505,0.9996727472611758,0.5253447191892991
1.0,391007,391135,3838162,7849505,0.9996727472611758,0.48896866745100487
1.05,390879,391135,3575412,7849505,0.9993454945223517,0.4554952191252824
1.1,390879,391135,3328763,7849505,0.9993454945223517,0.4240729829460584
1.1500000000000001,390815,391135,3098261,7849505,0.9991818681529395,0.3947078191554754
1.2000000000000002,390711,391135,2880888,7849505,0.9989159753026449,0.36701524491034787
1.25,390295,391135,2672356,7849505,0.9978524039014662,0.3404489837257254
1.3,390063,391135,2474264,7849505,0.9972592583123474,0.3152127427143495
1.35,389655,391135,2288412,7849505,0.9962161402073453,0.2915358356991938
1.4000000000000001,389399,391135,2113292,7849505,0.9955616347296969,0.2692261486552337
1.4500000000000002,389335,391135,1964205,7849505,0.9953980083602848,0.2502329764743127
1.5,388972,391135,1825561,7849505,0.9944699400462755,0.2325702066563433
1.55,388380,391135,1689209,7849505,0.9929563961292137,0.2151994297729602
1.6,388028,391135,1572118,7849505,0.9920564510974472,0.20028243819196243
1.6500000000000001,387964,391135,1464209,7849505,0.9918928247280351,0.18653520190126638
1.7000000000000002,387324,391135,1356617,7849505,0.9902565610339141,0.17282835032272736
1.75,386880,391135,1266312,7849505,0.9891214030961177,0.16132380322071263
1.8,386656,391135,1186081,7849505,0.9885487108031754,0.1511026491479399
1.85,386464,391135,1104605,7849505,0.9880578316949391,0.14072288634761046
1.9000000000000001,386336,391135,1030062,7849505,0.9877305789561149,0.13122636395543413
1.9500000000000002,385880,391135,965503,7849505,0.9865647410740537,0.1230017689013511
2.0,385368,391135,912111,7849505,0.985255730118757,0.11619981132568231
2.0500000000000003,385251,391135,860962,7849505,0.9849566006621755,0.10968360425275224
2.1,385059,391135,810378,7849505,0.9844657215539392,0.10323937624092219
2.15,384707,391135,762205,7849505,0.9835657765221727,0.0971023013553084
2.2,383909,391135,715605,7849505,0.9815255602285656,0.09116562127165981
2.25,383621,391135,673589,7849505,0.9807892415662112,0.08581292705718387
2.3000000000000003,383301,391135,636507,7849505,0.9799711097191507,0.08108880751079209
2.35,382693,391135,598636,7849505,0.9784166592097358,0.0762641720719969
2.4000000000000004,382277,391135,567795,7849505,0.9773530878085571,0.07233513450848174
2.45,382055,391135,536672,7849505,0.976785508839659,0.06837017111270073
2.5,381735,391135,508642,7849505,0.9759673769925985,0.06479924530272928
2.5500000000000003,381257,391135,482425,7849505,0.9747452925460519,0.06145928947111952
2.6,380937,391135,454062,7849505,0.9739271606989914,0.05784594060389795
2.6500000000000004,380557,391135,429913,7849505,0.9729556291306071,0.05476944087557113
2.7,380365,391135,408581,7849505,0.9724647500223708,0.05205181728019792
2.75,379420,391135,384707,7849505,0.9700487044115204,0.04901035160815873
2.8000000000000003,379196,391135,366214,7849505,0.969476012118578,0.04665440687024214
2.85,379132,391135,346667,7849505,0.9693123857491659,0.0441641861493177
2.9000000000000004,378940,391135,327846,7849505,0.9688215066409296,0.04176645533699259
2.95,378940,391135,312723,7849505,0.9688215066409296,0.03983983703430981
3.0,378780,391135,300516,7849505,0.9684124407173994,0.03828470712484418
3.0500000000000003,378684,391135,288198,7849505,0.9681670011632812,0.03671543619629518
3.1,378300,391135,276322,7849505,0.9671852429468086,0.03520247455094302
3.1500000000000004,377124,391135,264148,7849505,0.9641786084088614,0.03365154872823191
3.2,377028,391135,251694,7849505,0.9639331688547432,0.03206495186639158
3.25,376740,391135,241933,7849505,0.9631968501923888,0.03082143396303334
3.3000000000000003,376548,391135,232450,7849505,0.9627059710841526,0.02961333230566768
3.35,376420,391135,224783,7849505,0.9623787183453283,0.028636582816368675
3.4000000000000004,375825,391135,216155,7849505,0.9608575044422003,0.027537405224915455
3.45,375345,391135,208541,7849505,0.9596303066716095,0.026567407753737338
3.5,375217,391135,202483,7849505,0.9593030539327854,0.02579563934286302
3.5500000000000003,374865,391135,195519,7849505,0.9584031089010189,0.02490844964109202
3.6,374865,391135,188862,7849505,0.9584031089010189,0.024060370685794835
3.6500000000000004,374353,391135,183490,7849505,0.9570940979457221,0.023375996320787108
3.7,374353,391135,177164,7849505,0.9570940979457221,0.022570085629603394
3.75,374289,391135,171729,7849505,0.95693047157631,0.021877685280791592
3.8000000000000003,374129,391135,165276,7849505,0.9565214056527798,0.021055595225431413
3.85,373029,391135,159315,7849505,0.9537090774285093,0.020296184281684004
3.9000000000000004,372606,391135,154171,7849505,0.9526276093931763,0.019640856334252926
3.95,372606,391135,149628,7849505,0.9526276093931763,0.019062093724381345
4.0,372606,391135,145135,7849505,0.9526276093931763,0.0184897009429257
4.05,372542,391135,141470,7849505,0.9524639830237642,0.018022792520037887
4.1000000000000005,372542,391135,136891,7849505,0.9524639830237642,0.01743944363370684
4.15,372446,391135,132027,7849505,0.9522185434696461,0.01681978672540498
4.2,370878,391135,128690,7849505,0.9482096974190497,0.016394664376925678
4.25,370878,391135,123567,7849505,0.9482096974190497,0.01574201175742929
4.3,370110,391135,120917,7849505,0.9462461809861046,0.015404410851384897
4.3500000000000005,370016,391135,118280,7849505,0.9460058547560305,0.015068466100728645
4.4,369512,391135,115051,7849505,0.9447172970969103,0.014657102581627758
4.45,369512,391135,112344,7849505,0.9447172970969103,0.014312240071189202
4.5,367864,391135,109291,7849505,0.9405039180845488,0.013923298348112397
4.55,367864,391135,106661,7849505,0.9405039180845488,0.013588245373434376
4.6000000000000005,367864,391135,102630,7849505,0.9405039180845488,0.013074709806541941
4.65,367704,391135,100550,7849505,0.9400948521610186,0.012809724944439172
4.7,367046,391135,98461,7849505,0.9384125685505005,0.012543593513221535
4.75,367046,391135,96158,7849505,0.9384125685505005,0.012250199216383708
