Threshold_Factor,Detected_Cells,True_Cells,False_Alarm_Cells,False_Cells,Detection_Rate,False_Alarm_Rate
0.0,391135,391135,7850463,7849505,1.0,1.0001220459124494
0.05,391135,391135,7840460,7849505,1.0,0.9988476980395579
0.1,391135,391135,7807219,7849505,1.0,0.994612908712078
0.15000000000000002,391135,391135,7746868,7849505,1.0,0.9869243984174798
0.2,391135,391135,7663390,7849505,1.0,0.9762895876873765
0.25,391135,391135,7562014,7849505,1.0,0.963374633177506
0.30000000000000004,391135,391135,7434462,7849505,1.0,0.947124946095327
0.35000000000000003,391135,391135,7274161,7849505,1.0,0.9267031487972809
0.4,391135,391135,7095386,7849505,1.0,0.9039278272961161
0.45,391071,391135,6902439,7849505,0.9998363736305879,0.8793470416287397
0.5,391071,391135,6704752,7849505,0.9998363736305879,0.8541623962275329
0.55,391071,391135,6499594,7849505,0.9998363736305879,0.8280259710644174
0.6000000000000001,391071,391135,6269762,7849505,0.9998363736305879,0.798746162974608
0.65,391071,391135,6027796,7849505,0.9998363736305879,0.7679205249248201
0.7000000000000001,391071,391135,5784055,7849505,0.9998363736305879,0.7368687579662666
0.75,391007,391135,5538176,7849505,0.9996727472611758,0.705544617144648
0.8,390879,391135,5287798,7849505,0.9993454945223517,0.6736473191621637
0.8500000000000001,390879,391135,5028142,7849505,0.9993454945223517,0.6405680358188192
0.9,390815,391135,4782096,7849505,0.9991818681529395,0.6092226197702912
0.9500000000000001,390815,391135,4547883,7849505,0.9991818681529395,0.5793846873146778
1.0,390815,391135,4306801,7849505,0.9991818681529395,0.5486716678312836
1.05,390775,391135,4075092,7849505,0.999079601672057,0.5191527363827401
1.1,390775,391135,3852036,7849505,0.999079601672057,0.49073616743985765
1.1500000000000001,390487,391135,3628285,7849505,0.9983432830097025,0.4622310578819938
1.2000000000000002,390423,391135,3420912,7849505,0.9981796566402904,0.43581244932005264
1.25,390327,391135,3218004,7849505,0.9979342170861722,0.4099626664356542
1.3,390135,391135,3039662,7849505,0.997443337977936,0.3872425076485715
1.35,389687,391135,2856395,7849505,0.9962979533920513,0.36389492076251945
1.4000000000000001,389423,391135,2684913,7849505,0.9956229946182265,0.3420487024341025
1.4500000000000002,389035,391135,2523960,7849505,0.9946310097536656,0.3215438425735126
1.5,388843,391135,2362500,7849505,0.9941401306454293,0.30097439265278514
1.55,388555,391135,2233995,7849505,0.9934038119830749,0.28460329664099837
1.6,388363,391135,2094725,7849505,0.9929129328748386,0.2668607765712615
1.6500000000000001,387872,391135,1967483,7849505,0.9916576118220052,0.2506505824252612
1.7000000000000002,387808,391135,1848354,7849505,0.991493985452593,0.23547395663803003
1.75,387616,391135,1739889,7849505,0.9910031063443568,0.22165588785534884
1.8,387072,391135,1630292,7849505,0.989612282204354,0.20769360615733093
1.85,386608,391135,1537904,7849505,0.9884259910261163,0.1959236920035085
1.9000000000000001,386224,391135,1441597,7849505,0.9874442328096438,0.18365451069844532
1.9500000000000002,386096,391135,1359444,7849505,0.9871169800708195,0.17318850042136416
2.0,385744,391135,1286122,7849505,0.986217035039053,0.1638475292391049
2.0500000000000003,385552,391135,1219613,7849505,0.9857261559308167,0.15537451087680051
2.1,385168,391135,1151479,7849505,0.9847443977143442,0.14669447309097836
2.15,384872,391135,1088195,7849505,0.9839876257558132,0.13863230866150159
2.2,384808,391135,1033368,7849505,0.9838239993864011,0.13164753701029555
2.25,384266,391135,985057,7849505,0.9824382885704425,0.12549288139825376
2.3000000000000003,383626,391135,939138,7849505,0.9808020248763215,0.11964295837763018
2.35,383212,391135,891095,7849505,0.979743566799187,0.1135224450458978
2.4000000000000004,382860,391135,853834,7849505,0.9788436217674205,0.10877552151377698
2.45,382668,391135,813402,7849505,0.9783527426591841,0.10362462346351776
2.5,382476,391135,774957,7849505,0.9778618635509478,0.09872686239450768
2.5500000000000003,382103,391135,737529,7849505,0.976908228616718,0.09395866363547765
2.6,382039,391135,705906,7849505,0.976744602247306,0.08993000195553733
2.6500000000000004,381943,391135,674836,7849505,0.9764991626931878,0.0859717905778772
2.7,381687,391135,645548,7849505,0.9758446572155394,0.0822405998849609
2.75,381463,391135,619685,7849505,0.975271964922597,0.07894574243853593
2.8000000000000003,380966,391135,591050,7849505,0.9740013038976313,0.0752977417047317
2.85,380902,391135,564607,7849505,0.9738376775282191,0.07192899424868192
2.9000000000000004,380472,391135,538979,7849505,0.9727383128587317,0.06866407499581184
2.95,380280,391135,513158,7849505,0.9722474337504954,0.06537456820525625
3.0,379992,391135,490177,7849505,0.9715111150881409,0.062446867668725606
